CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI,Useless_Column
123001,CLARK FORKLIFT 001 NEW (no multi 1),2000-01-10,Yes,,"multi 3,multi 5,multi 7,multi 9",123
123002,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123003,CLARK FORKLIFT 003,2019-03-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123004,CLARK FORKLIFT 004,2019-04-10,No,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123005,CLARK FORKLIFT 005,2019-05-10,Yes,item 5,"multi 1,multi 2,multi 3"
123006,CLARK FORKLIFT 006,2019-06-10,No,item 6,"multi 4,multi 5,multi 6"
123007,CLARK FORKLIFT 007,2019-07-10,Yes,item 7,"multi 7,multi 8,multi 9"
123008,CLARK FORKLIFT 008,2019-08-10,No,item 8,"multi 10,multi 1,multi 2"
123009,CLARK FORKLIFT 009,2019-09-10,Yes,item 9,"multi 3,multi 4,multi 5"
123010,CLARK FORKLIFT 010,2019-10-10,No,item 10,"multi 6,multi 7,multi 8"
123011,CLARK FORKLIFT 011,2019-11-10,Yes,item 1,"multi 9,multi 10,multi 1,multi 2"
123012,CLARK FORKLIFT 012,2019-12-10,No,item 2,"multi 3,multi 4,multi 5,multi 6"
123013,CLARK FORKLIFT 013,2020-01-10,Yes,item 3,"multi 7,multi 8,multi 9,multi 10"
123014,CLARK FORKLIFT 014,2020-02-10,No,item 4,"multi 1,multi 3,multi 5,multi 7,multi 9"
123015,CLARK FORKLIFT 015,2020-03-10,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
123016,CLARK FORKLIFT 016,2020-04-10,No,item 6,"multi 1,multi 3,multi 5,multi 7,multi 9"
123017,CLARK FORKLIFT 017,2020-05-10,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
123018,CLARK FORKLIFT 018,2020-06-10,No,item 8,"multi 1,multi 2,multi 3"
123019,CLARK FORKLIFT 019,2020-07-10,Yes,item 9,"multi 4,multi 5,multi 6"
123020,CLARK FORKLIFT 020,2020-08-10,No,item 10,"multi 7,multi 8,multi 9"
123021,CLARK FORKLIFT 021,2020-09-10,Yes,item 1,"multi 10,multi 1,multi 2"
123022,CLARK FORKLIFT 022,2020-10-10,No,item 2,"multi 3,multi 4,multi 5"
123023,CLARK FORKLIFT 023,2020-11-10,Yes,item 3,"multi 6,multi 7,multi 8"
123024,CLARK FORKLIFT 024,2020-12-10,No,item 4,"multi 9,multi 10,multi 1,multi 2"
123025,CLARK FORKLIFT 025,2021-01-10,Yes,item 5,"multi 3,multi 4,multi 5,multi 6"
123026,CLARK FORKLIFT 026,2021-02-10,No,item 6,"multi 7,multi 8,multi 9,multi 10"
123027,CLARK FORKLIFT 027,2021-03-10,Yes,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123028,CLARK FORKLIFT 028,2021-04-10,No,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123029,CLARK FORKLIFT 029,2021-05-10,Yes,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123030,CLARK FORKLIFT 030,2021-06-10,No,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123031,CLARK FORKLIFT 031,2021-07-10,Yes,item 1,"multi 1,multi 2,multi 3"
123032,CLARK FORKLIFT 032,2021-08-10,No,item 2,"multi 4,multi 5,multi 6"
123033,CLARK FORKLIFT 033,2021-09-10,Yes,item 3,"multi 7,multi 8,multi 9"
123034,CLARK FORKLIFT 034,2021-10-10,No,item 4,"multi 10,multi 1,multi 2"
123035,CLARK FORKLIFT 035,2021-11-10,Yes,item 5,"multi 3,multi 4,multi 5"
123036,CLARK FORKLIFT 036,2021-12-10,No,item 6,"multi 6,multi 7,multi 8"
123037,CLARK FORKLIFT 037,2022-01-10,Yes,item 7,"multi 9,multi 10,multi 1,multi 2"
123038,CLARK FORKLIFT 038,2022-02-10,No,item 8,"multi 3,multi 4,multi 5,multi 6"
123039,CLARK FORKLIFT 039,2022-03-10,Yes,item 9,"multi 7,multi 8,multi 9,multi 10"
123040,CLARK FORKLIFT 040,2022-04-10,No,item 10,"multi 1,multi 3,multi 5,multi 7,multi 9"
123041,CLARK FORKLIFT 041,2022-05-10,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
123042,CLARK FORKLIFT 042,2022-06-10,No,item 2,"multi 1,multi 3,multi 5,multi 7,multi 9"
123043,CLARK FORKLIFT 043,2022-07-10,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
123044,CLARK FORKLIFT 044,2022-08-10,No,item 4,"multi 1,multi 2,multi 3"
123045,CLARK FORKLIFT 045,2022-09-10,Yes,item 5,"multi 4,multi 5,multi 6"
123046,CLARK FORKLIFT 046,2022-10-10,No,item 6,"multi 7,multi 8,multi 9"
123047,CLARK FORKLIFT 047,2022-11-10,Yes,item 7,"multi 10,multi 1,multi 2"
123048,CLARK FORKLIFT 048,2022-12-10,No,item 8,"multi 3,multi 4,multi 5"
123049,CLARK FORKLIFT 049,2023-01-10,Yes,item 9,"multi 6,multi 7,multi 8"
123050,CLARK FORKLIFT 050,2023-02-10,No,item 10,"multi 9,multi 10,multi 1,multi 2";456
123051,CLARK FORKLIFT 051,2023-03-10,Yes,item 1,"multi 3,multi 4,multi 5,multi 6"
123052,CLARK FORKLIFT 052,2023-04-10,No,item 2,"multi 7,multi 8,multi 9,multi 10"
123053,CLARK FORKLIFT 053,2023-05-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123054,CLARK FORKLIFT 054,2023-06-10,No,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123055,CLARK FORKLIFT 055,2023-07-10,Yes,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123056,CLARK FORKLIFT 056,2023-08-10,No,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123057,CLARK FORKLIFT 057,2023-09-10,Yes,item 7,"multi 1,multi 2,multi 3"
123058,CLARK FORKLIFT 058,2023-10-10,No,item 8,"multi 4,multi 5,multi 6"
123059,CLARK FORKLIFT 059,2023-11-10,Yes,item 9,"multi 7,multi 8,multi 9"
123060,CLARK FORKLIFT 060,2023-12-10,No,item 10,"multi 10,multi 1,multi 2"
123061,CLARK FORKLIFT 061,2024-01-10,Yes,item 1,"multi 3,multi 4,multi 5"
123062,CLARK FORKLIFT 062,2024-02-10,No,item 2,"multi 6,multi 7,multi 8"
123063,CLARK FORKLIFT 063,2024-03-10,Yes,item 3,"multi 9,multi 10,multi 1,multi 2"
123064,CLARK FORKLIFT 064,2024-04-10,No,item 4,"multi 3,multi 4,multi 5,multi 6"
123065,CLARK FORKLIFT 065,2024-05-10,Yes,item 5,"multi 7,multi 8,multi 9,multi 10"
123066,CLARK FORKLIFT 066,2024-06-10,No,item 6,"multi 1,multi 3,multi 5,multi 7,multi 9"
123067,CLARK FORKLIFT 067,2024-07-10,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
123068,CLARK FORKLIFT 068,2024-08-10,No,item 8,"multi 1,multi 3,multi 5,multi 7,multi 9"
123069,CLARK FORKLIFT 069,2024-09-10,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
123070,CLARK FORKLIFT 070,2024-10-10,No,item 10,"multi 1,multi 2,multi 3"
123071,CLARK FORKLIFT 071,2024-11-10,Yes,item 1,"multi 4,multi 5,multi 6"
123072,CLARK FORKLIFT 072,2024-12-10,No,item 2,"multi 7,multi 8,multi 9"
123073,CLARK FORKLIFT 073,2025-01-10,Yes,item 3,"multi 10,multi 1,multi 2"
123074,CLARK FORKLIFT 074,2025-02-10,No,item 4,"multi 3,multi 4,multi 5"
123075,CLARK FORKLIFT 075,2025-03-10,Yes,item 5,"multi 6,multi 7,multi 8"
123076,CLARK FORKLIFT 076,2025-04-10,No,item 6,"multi 9,multi 10,multi 1,multi 2"
123077,CLARK FORKLIFT 077,2025-05-10,Yes,item 7,"multi 3,multi 4,multi 5,multi 6"
123078,CLARK FORKLIFT 078,2025-06-10,No,item 8,"multi 7,multi 8,multi 9,multi 10"
123079,CLARK FORKLIFT 079,2025-07-10,Yes,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123080,CLARK FORKLIFT 080,2025-08-10,No,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123081,CLARK FORKLIFT 081,2025-09-10,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123082,CLARK FORKLIFT 082,2025-10-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123083,CLARK FORKLIFT 083,2025-11-10,Yes,item 3,"multi 1,multi 2,multi 3"
123084,CLARK FORKLIFT 084,2025-12-10,No,item 4,"multi 4,multi 5,multi 6"
123085,CLARK FORKLIFT 085,2026-01-10,Yes,item 5,"multi 7,multi 8,multi 9"
123086,CLARK FORKLIFT 086,2026-02-10,No,item 6,"multi 10,multi 1,multi 2"
123087,CLARK FORKLIFT 087,2026-03-10,Yes,item 7,"multi 3,multi 4,multi 5"
123088,CLARK FORKLIFT 088,2026-04-10,No,item 8,"multi 6,multi 7,multi 8"
123089,CLARK FORKLIFT 089,2026-05-10,Yes,item 9,"multi 9,multi 10,multi 1,multi 2"
123090,CLARK FORKLIFT 090,2026-06-10,No,item 10,"multi 3,multi 4,multi 5,multi 6"
123091,CLARK FORKLIFT 091,2026-07-10,Yes,item 1,"multi 7,multi 8,multi 9,multi 10"
123092,CLARK FORKLIFT 092,2026-08-10,No,item 2,"multi 1,multi 3,multi 5,multi 7,multi 9"
123093,CLARK FORKLIFT 093,2026-09-10,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
123094,CLARK FORKLIFT 094,2026-10-10,No,item 4,"multi 1,multi 3,multi 5,multi 7,multi 9"
123095,CLARK FORKLIFT 095,2026-11-10,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
123096,CLARK FORKLIFT 096,2026-12-10,No,item 6,"multi 1,multi 2,multi 3"
123097,CLARK FORKLIFT 097,2027-01-10,Yes,item 7,"multi 4,multi 5,multi 6"
123098,CLARK FORKLIFT 098,2027-02-10,No,item 8,"multi 7,multi 8,multi 9"
123099,CLARK FORKLIFT 099,2027-03-10,Yes,item 9,"multi 10,multi 1,multi 2"
123100,CLARK FORKLIFT 100,2027-04-10,No,item 10,"multi 3,multi 4,multi 5",789
123101,CLARK FORKLIFT 001,2019-01-10,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123102,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123103,CLARK FORKLIFT 003,2019-03-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123104,CLARK FORKLIFT 004,2019-04-10,No,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123105,CLARK FORKLIFT 005,2019-05-10,Yes,item 5,"multi 1,multi 2,multi 3"
123106,CLARK FORKLIFT 006,2019-06-10,No,item 6,"multi 4,multi 5,multi 6"
123107,CLARK FORKLIFT 007,2019-07-10,Yes,item 7,"multi 7,multi 8,multi 9"
123108,CLARK FORKLIFT 008,2019-08-10,No,item 8,"multi 10,multi 1,multi 2"
123109,CLARK FORKLIFT 009,2019-09-10,Yes,item 9,"multi 3,multi 4,multi 5"
123110,CLARK FORKLIFT 010,2019-10-10,No,item 10,"multi 6,multi 7,multi 8"
123111,CLARK FORKLIFT 011,2019-11-10,Yes,item 1,"multi 9,multi 10,multi 1,multi 2"
123112,CLARK FORKLIFT 012,2019-12-10,No,item 2,"multi 3,multi 4,multi 5,multi 6"
123113,CLARK FORKLIFT 013,2020-01-10,Yes,item 3,"multi 7,multi 8,multi 9,multi 10"
123114,CLARK FORKLIFT 014,2020-02-10,No,item 4,"multi 1,multi 3,multi 5,multi 7,multi 9"
123115,CLARK FORKLIFT 015,2020-03-10,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
123116,CLARK FORKLIFT 016,2020-04-10,No,item 6,"multi 1,multi 3,multi 5,multi 7,multi 9"
123117,CLARK FORKLIFT 017,2020-05-10,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
123118,CLARK FORKLIFT 018,2020-06-10,No,item 8,"multi 1,multi 2,multi 3"
123119,CLARK FORKLIFT 019,2020-07-10,Yes,item 9,"multi 4,multi 5,multi 6"
123120,CLARK FORKLIFT 020,2020-08-10,No,item 10,"multi 7,multi 8,multi 9"
123121,CLARK FORKLIFT 021,2020-09-10,Yes,item 1,"multi 10,multi 1,multi 2"
123122,CLARK FORKLIFT 022,2020-10-10,No,item 2,"multi 3,multi 4,multi 5"
123123,CLARK FORKLIFT 023,2020-11-10,Yes,item 3,"multi 6,multi 7,multi 8"
123124,CLARK FORKLIFT 024,2020-12-10,No,item 4,"multi 9,multi 10,multi 1,multi 2"
123125,CLARK FORKLIFT 025,2021-01-10,Yes,item 5,"multi 3,multi 4,multi 5,multi 6"
123126,CLARK FORKLIFT 026,2021-02-10,No,item 6,"multi 7,multi 8,multi 9,multi 10"
123127,CLARK FORKLIFT 027,2021-03-10,Yes,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123128,CLARK FORKLIFT 028,2021-04-10,No,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123129,CLARK FORKLIFT 029,2021-05-10,Yes,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123130,CLARK FORKLIFT 030,2021-06-10,No,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123131,CLARK FORKLIFT 031,2021-07-10,Yes,item 1,"multi 1,multi 2,multi 3"
123132,CLARK FORKLIFT 032,2021-08-10,No,item 2,"multi 4,multi 5,multi 6"
123133,CLARK FORKLIFT 033,2021-09-10,Yes,item 3,"multi 7,multi 8,multi 9"
123134,CLARK FORKLIFT 034,2021-10-10,No,item 4,"multi 10,multi 1,multi 2"
123135,CLARK FORKLIFT 035,2021-11-10,Yes,item 5,"multi 3,multi 4,multi 5"
123136,CLARK FORKLIFT 036,2021-12-10,No,item 6,"multi 6,multi 7,multi 8"
123137,CLARK FORKLIFT 037,2022-01-10,Yes,item 7,"multi 9,multi 10,multi 1,multi 2"
123138,CLARK FORKLIFT 038,2022-02-10,No,item 8,"multi 3,multi 4,multi 5,multi 6"
123139,CLARK FORKLIFT 039,2022-03-10,Yes,item 9,"multi 7,multi 8,multi 9,multi 10"
123140,CLARK FORKLIFT 040,2022-04-10,No,item 10,"multi 1,multi 3,multi 5,multi 7,multi 9"
123141,CLARK FORKLIFT 041,2022-05-10,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
123142,CLARK FORKLIFT 042,2022-06-10,No,item 2,"multi 1,multi 3,multi 5,multi 7,multi 9"
123143,CLARK FORKLIFT 043,2022-07-10,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
123144,CLARK FORKLIFT 044,2022-08-10,No,item 4,"multi 1,multi 2,multi 3"
123145,CLARK FORKLIFT 045,2022-09-10,Yes,item 5,"multi 4,multi 5,multi 6"
123146,CLARK FORKLIFT 046,2022-10-10,No,item 6,"multi 7,multi 8,multi 9"
123147,CLARK FORKLIFT 047,2022-11-10,Yes,item 7,"multi 10,multi 1,multi 2"
123148,CLARK FORKLIFT 048,2022-12-10,No,item 8,"multi 3,multi 4,multi 5"
123149,CLARK FORKLIFT 049,2023-01-10,Yes,item 9,"multi 6,multi 7,multi 8"
123150,CLARK FORKLIFT 050,2023-02-10,No,item 10,"multi 9,multi 10,multi 1,multi 2",ABC
123151,CLARK FORKLIFT 051,2023-03-10,Yes,item 1,"multi 3,multi 4,multi 5,multi 6"
123152,CLARK FORKLIFT 052,2023-04-10,No,item 2,"multi 7,multi 8,multi 9,multi 10"
123153,CLARK FORKLIFT 053,2023-05-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123154,CLARK FORKLIFT 054,2023-06-10,No,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123155,CLARK FORKLIFT 055,2023-07-10,Yes,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123156,CLARK FORKLIFT 056,2023-08-10,No,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123157,CLARK FORKLIFT 057,2023-09-10,Yes,item 7,"multi 1,multi 2,multi 3"
123158,CLARK FORKLIFT 058,2023-10-10,No,item 8,"multi 4,multi 5,multi 6"
123159,CLARK FORKLIFT 059,2023-11-10,Yes,item 9,"multi 7,multi 8,multi 9"
123160,CLARK FORKLIFT 060,2023-12-10,No,item 10,"multi 10,multi 1,multi 2"
123161,CLARK FORKLIFT 061,2024-01-10,Yes,item 1,"multi 3,multi 4,multi 5"
123162,CLARK FORKLIFT 062,2024-02-10,No,item 2,"multi 6,multi 7,multi 8"
123163,CLARK FORKLIFT 063,2024-03-10,Yes,item 3,"multi 9,multi 10,multi 1,multi 2"
123164,CLARK FORKLIFT 064,2024-04-10,No,item 4,"multi 3,multi 4,multi 5,multi 6"
123165,CLARK FORKLIFT 065,2024-05-10,Yes,item 5,"multi 7,multi 8,multi 9,multi 10"
123166,CLARK FORKLIFT 066,2024-06-10,No,item 6,"multi 1,multi 3,multi 5,multi 7,multi 9"
123167,CLARK FORKLIFT 067,2024-07-10,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
123168,CLARK FORKLIFT 068,2024-08-10,No,item 8,"multi 1,multi 3,multi 5,multi 7,multi 9"
123169,CLARK FORKLIFT 069,2024-09-10,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
123170,CLARK FORKLIFT 070,2024-10-10,No,item 10,"multi 1,multi 2,multi 3"
123171,CLARK FORKLIFT 071,2024-11-10,Yes,item 1,"multi 4,multi 5,multi 6"
123172,CLARK FORKLIFT 072,2024-12-10,No,item 2,"multi 7,multi 8,multi 9"
123173,CLARK FORKLIFT 073,2025-01-10,Yes,item 3,"multi 10,multi 1,multi 2"
123174,CLARK FORKLIFT 074,2025-02-10,No,item 4,"multi 3,multi 4,multi 5"
123175,CLARK FORKLIFT 075,2025-03-10,Yes,item 5,"multi 6,multi 7,multi 8"
123176,CLARK FORKLIFT 076,2025-04-10,No,item 6,"multi 9,multi 10,multi 1,multi 2"
